rank	gene	description	n	cos	n_cos	N_cos	cos_ev	p	q
180	CXorf65	chromosome X open reading frame 65	0	0	0	0	0	1	1
181	CYP26C1	cytochrome P450, family 26, subfamily C, polypeptide 1	0	0	0	0	0	1	1
182	CYP2E1	cytochrome P450, family 2, subfamily E, polypeptide 1	2	0	0	0	0	1	1
183	DAGLA	diacylglycerol lipase, alpha	2	0	0	0	0	1	1
184	DAO	D-amino-acid oxidase	1	0	0	0	0	1	1
185	DAPK1	death-associated protein kinase 1	2	0	0	0	0	1	1
186	DAPK2	death-associated protein kinase 2	2	0	0	0	0	1	1
187	DBH	dopamine beta-hydroxylase (dopamine beta-monooxygenase)	2	0	0	0	0	1	1
188	DCAF10	DDB1 and CUL4 associated factor 10	1	0	0	0	0	1	1
189	DDB1	damage-specific DNA binding protein 1, 127kDa	1	0	0	0	0	1	1
190	DDX17	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17	2	0	0	0	0	1	1
191	DDX19B	DEAD (Asp-Glu-Ala-As) box polypeptide 19B	0	0	0	0	0	1	1
192	DDX31	DEAD (Asp-Glu-Ala-Asp) box polypeptide 31	2	0	0	0	0	1	1
193	DGKK	diacylglycerol kinase, kappa	2	0	0	0	0	1	1
194	DHPS	deoxyhypusine synthase	0	0	0	0	0	1	1
195	DHX29	DEAH (Asp-Glu-Ala-His) box polypeptide 29	2	0	0	0	0	1	1
196	DHX57	DEAH (Asp-Glu-Ala-Asp/His) box polypeptide 57	2	0	0	0	0	1	1
197	DMTF1	cyclin D binding myb-like transcription factor 1	0	0	0	0	0	1	1
198	DNAH11	dynein, axonemal, heavy chain 11	8	0	0	0	0	1	1
199	DNAH17	dynein, axonemal, heavy chain 17	4	0	0	0	0	1	1
200	DNAH2	dynein, axonemal, heavy chain 2	13	0	0	0	0	1	1
201	DNAJA2	DnaJ (Hsp40) homolog, subfamily A, member 2	0	0	0	0	0	1	1
202	DNAJC1	DnaJ (Hsp40) homolog, subfamily C, member 1	1	0	0	0	0	1	1
203	DNM2	dynamin 2	1	0	0	0	0	1	1
204	DNTTIP1	deoxynucleotidyltransferase, terminal, interacting protein 1	1	0	0	0	0	1	1
205	DONSON	downstream neighbor of SON	1	0	0	0	0	1	1
206	DPP9	dipeptidyl-peptidase 9	2	0	0	0	0	1	1
207	DPY19L2	dpy-19-like 2 (C. elegans)	1	0	0	0	0	1	1
208	DSPP	dentin sialophosphoprotein	0	0	0	0	0	1	1
209	DSTYK	dual serine/threonine and tyrosine protein kinase	0	0	0	0	0	1	1
210	DTX1	deltex homolog 1 (Drosophila)	1	0	0	0	0	1	1
211	DUSP12	dual specificity phosphatase 12	0	0	0	0	0	1	1
212	E2F4	E2F transcription factor 4, p107/p130-binding	1	0	0	0	0	1	1
213	E2F6	E2F transcription factor 6	1	0	0	0	0	1	1
214	EBF1	early B-cell factor 1	0	0	0	0	0	1	1
215	EDEM3	ER degradation enhancer, mannosidase alpha-like 3	1	0	0	0	0	1	1
216	EIF2C1	eukaryotic translation initiation factor 2C, 1	1	0	0	0	0	1	1
217	EIF4E	eukaryotic translation initiation factor 4E	1	0	0	0	0	1	1
218	ENC1	ectodermal-neural cortex (with BTB-like domain)	1	0	0	0	0	1	1
219	ENPP6	ectonucleotide pyrophosphatase/phosphodiesterase 6	0	0	0	0	0	1	1
220	EPB41L4B	erythrocyte membrane protein band 4.1 like 4B	3	0	0	0	0	1	1
221	EPB49	erythrocyte membrane protein band 4.9 (dematin)	0	0	0	0	0	1	1
222	EPHB2	EPH receptor B2	1	0	0	0	0	1	1
223	EPS15	epidermal growth factor receptor pathway substrate 15	0	0	0	0	0	1	1
224	EPS8L3	EPS8-like 3	0	0	0	0	0	1	1
225	EXO1	exonuclease 1	0	0	0	0	0	1	1
226	EXOC2	exocyst complex component 2	1	0	0	0	0	1	1
227	EXT1	exostoses (multiple) 1	1	0	0	0	0	1	1
228	EXTL1	exostoses (multiple)-like 1	1	0	0	0	0	1	1
229	F3	coagulation factor III (thromboplastin, tissue factor)	0	0	0	0	0	1	1
230	FADS1	fatty acid desaturase 1	0	0	0	0	0	1	1
231	FAIM3	Fas apoptotic inhibitory molecule 3	0	0	0	0	0	1	1
232	FAM120C	family with sequence similarity 120C	1	0	0	0	0	1	1
233	FAM126A	family with sequence similarity 126, member A	1	0	0	0	0	1	1
234	FAM179A	family with sequence similarity 179, member A	1	0	0	0	0	1	1
235	FAM46B	family with sequence similarity 46, member B	0	0	0	0	0	1	1
236	FAM63B	family with sequence similarity 63, member B	1	0	0	0	0	1	1
237	FAM70A	family with sequence similarity 70, member A	0	0	0	0	0	1	1
238	FAM78B	family with sequence similarity 78, member B	0	0	0	0	0	1	1
239	FAM92B	family with sequence similarity 92, member B	0	0	0	0	0	1	1
240	FANCA	Fanconi anemia, complementation group A	3	0	0	0	0	1	1
241	FBXL4	F-box and leucine-rich repeat protein 4	0	0	0	0	0	1	1
242	FBXO25	F-box protein 25	0	0	0	0	0	1	1
243	FBXO31	F-box protein 31	0	0	0	0	0	1	1
244	FBXO32	F-box protein 32	0	0	0	0	0	1	1
245	FBXO6	F-box protein 6	0	0	0	0	0	1	1
246	FBXW2	F-box and WD repeat domain containing 2	0	0	0	0	0	1	1
247	FBXW4	F-box and WD repeat domain containing 4	0	0	0	0	0	1	1
248	FCHSD1	FCH and double SH3 domains 1	3	0	0	0	0	1	1
249	FECH	ferrochelatase (protoporphyria)	1	0	0	0	0	1	1
250	FGD5	FYVE, RhoGEF and PH domain containing 5	2	0	0	0	0	1	1
251	FGF23	fibroblast growth factor 23	1	0	0	0	0	1	1
252	FGL2	fibrinogen-like 2	0	0	0	0	0	1	1
253	FGR	Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog	0	0	0	0	0	1	1
254	FLII	flightless I homolog (Drosophila)	0	0	0	0	0	1	1
255	FMN2	formin 2	5	0	0	0	0	1	1
256	FMNL3	formin-like 3	2	0	0	0	0	1	1
257	FNDC1	fibronectin type III domain containing 1	2	0	0	0	0	1	1
258	FOLH1B	folate hydrolase 1B	1	0	0	0	0	1	1
259	FOXA2	forkhead box A2	0	0	0	0	0	1	1
260	FOXA3	forkhead box A3	0	0	0	0	0	1	1
261	FOXJ2	forkhead box J2	0	0	0	0	0	1	1
262	FOXN4	forkhead box N4	0	0	0	0	0	1	1
263	FOXO1	forkhead box O1	1	0	0	0	0	1	1
264	FREM2	FRAS1 related extracellular matrix protein 2	6	0	0	0	0	1	1
265	FRMD6	FERM domain containing 6	0	0	0	0	0	1	1
266	FRMD8	FERM domain containing 8	0	0	0	0	0	1	1
267	FRS2	fibroblast growth factor receptor substrate 2	1	0	0	0	0	1	1
268	FRYL	FRY-like	5	0	0	0	0	1	1
269	FSD2	fibronectin type III and SPRY domain containing 2	0	0	0	0	0	1	1
270	FTSJD2	FtsJ methyltransferase domain containing 2	1	0	0	0	0	1	1
271	FZD6	frizzled homolog 6 (Drosophila)	1	0	0	0	0	1	1
272	GABPA	GA binding protein transcription factor, alpha subunit 60kDa	1	0	0	0	0	1	1
273	GABRB3	gamma-aminobutyric acid (GABA) A receptor, beta 3	1	0	0	0	0	1	1
274	GCLC	glutamate-cysteine ligase, catalytic subunit	0	0	0	0	0	1	1
275	GCNT4	glucosaminyl (N-acetyl) transferase 4, core 2 (beta-1,6-N-acetylglucosaminyltransferase)	1	0	0	0	0	1	1
276	GDF15	growth differentiation factor 15	0	0	0	0	0	1	1
277	GEFT	Rho guanine nucleotide exchange factor (GEF) 25	1	0	0	0	0	1	1
278	GEMIN4	gem (nuclear organelle) associated protein 4	2	0	0	0	0	1	1
279	GGA2	golgi associated, gamma adaptin ear containing, ARF binding protein 2	0	0	0	0	0	1	1
280	GGPS1	geranylgeranyl diphosphate synthase 1	0	0	0	0	0	1	1
281	GJA4	gap junction protein, alpha 4, 37kDa	0	0	0	0	0	1	1
282	GJB4	gap junction protein, beta 4, 30.3kDa	0	0	0	0	0	1	1
283	GMDS	GDP-mannose 4,6-dehydratase	1	0	0	0	0	1	1
284	GMPS	guanine monphosphate synthetase	0	0	0	0	0	1	1
285	GNAI2	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2	1	0	0	0	0	1	1
286	GNAT1	guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 1	1	0	0	0	0	1	1
287	GOLGA3	golgi autoantigen, golgin subfamily a, 3	5	0	0	0	0	1	1
288	GPLD1	glycosylphosphatidylinositol specific phospholipase D1	0	0	0	0	0	1	1
289	GPR162	G protein-coupled receptor 162	1	0	0	0	0	1	1
290	GPR35	G protein-coupled receptor 35	1	0	0	0	0	1	1
291	GPSM2	G-protein signaling modulator 2 (AGS3-like, C. elegans)	1	0	0	0	0	1	1
292	GRAMD3	GRAM domain containing 3	0	0	0	0	0	1	1
293	GRASP	GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein	0	0	0	0	0	1	1
294	GRIN2C	glutamate receptor, ionotropic, N-methyl D-aspartate 2C	0	0	0	0	0	1	1
295	GRIN3A	glutamate receptor, ionotropic, N-methyl-D-aspartate 3A	1	0	0	0	0	1	1
296	GRIPAP1	GRIP1 associated protein 1	0	0	0	0	0	1	1
297	GRK4	G protein-coupled receptor kinase 4	1	0	0	0	0	1	1
298	GRN	granulin	1	0	0	0	0	1	1
299	GSR	glutathione reductase	1	0	0	0	0	1	1
300	HAMP	hepcidin antimicrobial peptide	0	0	0	0	0	1	1
301	HEATR6	HEAT repeat containing 6	1	0	0	0	0	1	1
302	HERC4	hect domain and RLD 4	1	0	0	0	0	1	1
303	HEY1	hairy/enhancer-of-split related with YRPW motif 1	1	0	0	0	0	1	1
304	HGFAC	HGF activator	1	0	0	0	0	1	1
305	HIPK1	homeodomain interacting protein kinase 1	2	0	0	0	0	1	1
306	HIST1H4I	histone cluster 1, H4i	0	0	0	0	0	1	1
307	HLA-G	major histocompatibility complex, class I, G	0	0	0	0	0	1	1
308	HORMAD1	HORMA domain containing 1	0	0	0	0	0	1	1
309	HOXA6	homeobox A6	0	0	0	0	0	1	1
310	HOXA9	homeobox A9	0	0	0	0	0	1	1
311	HS3ST3A1	heparan sulfate (glucosamine) 3-O-sulfotransferase 3A1	1	0	0	0	0	1	1
312	HSD17B2	hydroxysteroid (17-beta) dehydrogenase 2	0	0	0	0	0	1	1
313	HSPA13	heat shock protein 70kDa family, member 13	0	0	0	0	0	1	1
314	HSPA4L	heat shock 70kDa protein 4-like	3	0	0	0	0	1	1
315	HSPA6	heat shock 70kDa protein 6 (HSP70B')	0	0	0	0	0	1	1
316	HSPB2	heat shock 27kDa protein 2	0	0	0	0	0	1	1
317	HSPBAP1	HSPB (heat shock 27kDa) associated protein 1	0	0	0	0	0	1	1
318	HSPG2	heparan sulfate proteoglycan 2	9	0	0	0	0	1	1
319	IFI44	interferon-induced protein 44	0	0	0	0	0	1	1
320	IGF2	insulin-like growth factor 2 (somatomedin A)	0	0	0	0	0	1	1
321	IL13RA2	interleukin 13 receptor, alpha 2	0	0	0	0	0	1	1
322	IL1F9	interleukin 1 family, member 9	0	0	0	0	0	1	1
323	IL34	interleukin 34	0	0	0	0	0	1	1
324	INO80B	INO80 complex subunit B	0	0	0	0	0	1	1
325	INPP4B	inositol polyphosphate-4-phosphatase, type II, 105kDa	2	0	0	0	0	1	1
326	INPP5B	inositol polyphosphate-5-phosphatase, 75kDa	3	0	0	0	0	1	1
327	INPP5D	inositol polyphosphate-5-phosphatase, 145kDa	1	0	0	0	0	1	1
328	INSM2	insulinoma-associated 2	0	0	0	0	0	1	1
329	IPO5	importin 5	0	0	0	0	0	1	1
330	IPO7	importin 7	3	0	0	0	0	1	1
331	ITFG1	integrin alpha FG-GAP repeat containing 1	1	0	0	0	0	1	1
332	ITGAX	integrin, alpha X (complement component 3 receptor 4 subunit)	2	0	0	0	0	1	1
333	ITIH5	inter-alpha (globulin) inhibitor H5	6	0	0	0	0	1	1
334	ITPRIPL1	inositol 1,4,5-trisphosphate receptor interacting protein-like 1	1	0	0	0	0	1	1
335	KANK1	KN motif and ankyrin repeat domains 1	1	0	0	0	0	1	1
336	KANK4	KN motif and ankyrin repeat domains 4	1	0	0	0	0	1	1
337	KBTBD3	kelch repeat and BTB (POZ) domain containing 3	1	0	0	0	0	1	1
338	KCNA7	potassium voltage-gated channel, shaker-related subfamily, member 7	1	0	0	0	0	1	1
339	KCND1	potassium voltage-gated channel, Shal-related subfamily, member 1	0	0	0	0	0	1	1
340	KCNK9	potassium channel, subfamily K, member 9	0	0	0	0	0	1	1
