num	gene	desc	n	mindist	nmuts0	nmuts3	nmuts12	npairs0	npairs3	npairs12
4638	MED27	mediator complex subunit 27	2	0	1	1	1	1	1	1
4945	MYH1	myosin, heavy chain 1, skeletal muscle, adult	7	0	1	1	1	1	1	1
5473	OR4N4	olfactory receptor, family 4, subfamily N, member 4	3	0	1	1	1	1	1	1
5547	OR8J3	olfactory receptor, family 8, subfamily J, member 3	3	0	1	1	1	1	1	1
6023	PLSCR1	phospholipid scramblase 1	2	0	1	1	1	1	1	1
6165	PPP1R16B	protein phosphatase 1, regulatory (inhibitor) subunit 16B	2	0	1	1	1	1	1	1
6227	PRH2	proline-rich protein HaeIII subfamily 2	2	0	1	1	1	1	1	1
6242	PRKCE	protein kinase C, epsilon	4	0	1	1	1	1	1	1
6244	PRKCH	protein kinase C, eta	3	0	1	1	1	1	1	1
6356	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	10	0	1	1	1	1	1	1
6459	RAB39B	RAB39B, member RAS oncogene family	2	0	1	1	1	1	1	1
6673	RILPL1	Rab interacting lysosomal protein-like 1	2	0	1	1	1	1	1	1
7416	SMC3	structural maintenance of chromosomes 3	4	0	1	1	1	1	1	1
7544	SPINK5	serine peptidase inhibitor, Kazal type 5	3	0	1	1	1	1	1	1
7570	SPSB3	splA/ryanodine receptor domain and SOCS box containing 3	3	0	1	1	1	1	1	1
7709	SULT1A1	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1	2	0	1	1	1	1	1	1
7725	SUV39H2	suppressor of variegation 3-9 homolog 2 (Drosophila)	3	0	1	1	1	1	1	1
8140	TNK1	tyrosine kinase, non-receptor, 1	3	0	1	1	1	1	1	1
9039	ZNF516	zinc finger protein 516	2	0	1	1	1	1	1	1
9158	ZNF845	zinc finger protein 845	2	0	1	1	1	1	1	1
1937	CSMD3	CUB and Sushi multiple domains 3	21	1	0	2	3	0	2	3
5140	NFE2L2	nuclear factor (erythroid-derived 2)-like 2	5	1	0	2	2	0	2	2
8180	TP53	tumor protein p53	7	1	0	1	6	0	1	6
2117	DDI1	DDI1, DNA-damage inducible 1, homolog 1 (S. cerevisiae)	4	1	0	1	3	0	1	3
3590	HSPA8	heat shock 70kDa protein 8	6	1	0	1	3	0	1	3
292	AKT3	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	2	1	0	1	1	0	1	1
581	ASB3	ankyrin repeat and SOCS box-containing 3	2	1	0	1	1	0	1	1
640	ATP13A4	ATPase type 13A4	5	1	0	1	1	0	1	1
1656	CHST9	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 9	2	1	0	1	1	0	1	1
2231	DLAT	dihydrolipoamide S-acetyltransferase	2	1	0	1	1	0	1	1
2509	EMILIN2	elastin microfibril interfacer 2	3	1	0	1	1	0	1	1
2738	FAM55B	family with sequence similarity 55, member B	3	1	0	1	1	0	1	1
2782	FANCG	Fanconi anemia, complementation group G	3	1	0	1	1	0	1	1
2898	FKBP15	FK506 binding protein 15, 133kDa	2	1	0	1	1	0	1	1
3287	GPR78	G protein-coupled receptor 78	3	1	0	1	1	0	1	1
3314	GREB1	growth regulation by estrogen in breast cancer 1	6	1	0	1	1	0	1	1
3624	IDO1	indoleamine 2,3-dioxygenase 1	2	1	0	1	1	0	1	1
4368	LRP11	low density lipoprotein receptor-related protein 11	3	1	0	1	1	0	1	1
4655	MEMO1	mediator of cell motility 1	3	1	0	1	1	0	1	1
4912	MUC17	mucin 17, cell surface associated	17	1	0	1	1	0	1	1
5097	NDUFS3	NADH dehydrogenase (ubiquinone) Fe-S protein 3, 30kDa (NADH-coenzyme Q reductase)	2	1	0	1	1	0	1	1
5290	NRP1	neuropilin 1	3	1	0	1	1	0	1	1
5571	OTOF	otoferlin	5	1	0	1	1	0	1	1
5614	PAF1	Paf1, RNA polymerase II associated factor, homolog (S. cerevisiae)	2	1	0	1	1	0	1	1
5711	PCDHB10	protocadherin beta 10	4	1	0	1	1	0	1	1
5740	PCF11	PCF11, cleavage and polyadenylation factor subunit, homolog (S. cerevisiae)	4	1	0	1	1	0	1	1
6248	PRKD1	protein kinase D1	4	1	0	1	1	0	1	1
6331	PSMA6	proteasome (prosome, macropain) subunit, alpha type, 6	2	1	0	1	1	0	1	1
6671	RIF1	RAP1 interacting factor homolog (yeast)	5	1	0	1	1	0	1	1
6694	RMI1	RMI1, RecQ mediated genome instability 1, homolog (S. cerevisiae)	2	1	0	1	1	0	1	1
6742	ROBO1	roundabout, axon guidance receptor, homolog 1 (Drosophila)	4	1	0	1	1	0	1	1
6832	RSPRY1	ring finger and SPRY domain containing 1	5	1	0	1	1	0	1	1
6868	S1PR4	sphingosine-1-phosphate receptor 4	2	1	0	1	1	0	1	1
7076	SFRS2IP	splicing factor, arginine/serine-rich 2, interacting protein	6	1	0	1	1	0	1	1
8148	TNNT1	troponin T type 1 (skeletal, slow)	3	1	0	1	1	0	1	1
8524	USP29	ubiquitin specific peptidase 29	3	1	0	1	1	0	1	1
8614	VSIG2	V-set and immunoglobulin domain containing 2	3	1	0	1	1	0	1	1
8681	WDTC1	WD and tetratricopeptide repeats 1	3	1	0	1	1	0	1	1
8707	WSB2	WD repeat and SOCS box-containing 2	2	1	0	1	1	0	1	1
8889	ZMYM4	zinc finger, MYM-type 4	5	1	0	1	1	0	1	1
9001	ZNF407	zinc finger protein 407	5	1	0	1	1	0	1	1
4847	MS4A14	membrane-spanning 4-domains, subfamily A, member 14	5	2	0	1	3	0	1	3
5960	PKP2	plakophilin 2	6	2	0	1	3	0	1	3
7567	SPRYD5	SPRY domain containing 5	5	2	0	1	3	0	1	3
54	ABCD4	ATP-binding cassette, sub-family D (ALD), member 4	4	2	0	1	1	0	1	1
282	AKNA	AT-hook transcription factor	4	2	0	1	1	0	1	1
506	ARHGAP10	Rho GTPase activating protein 10	2	2	0	1	1	0	1	1
1118	C3orf70	chromosome 3 open reading frame 70	2	2	0	1	1	0	1	1
1146	C5orf44	chromosome 5 open reading frame 44	3	2	0	1	1	0	1	1
1220	CACNA1C	calcium channel, voltage-dependent, L type, alpha 1C subunit	8	2	0	1	1	0	1	1
1831	COMMD4	COMM domain containing 4	2	2	0	1	1	0	1	1
1917	CRYGA	crystallin, gamma A	3	2	0	1	1	0	1	1
2468	EIF3A	eukaryotic translation initiation factor 3, subunit A	3	2	0	1	1	0	1	1
2565	ERAP2	endoplasmic reticulum aminopeptidase 2	2	2	0	1	1	0	1	1
2729	FAM47A	family with sequence similarity 47, member A	4	2	0	1	1	0	1	1
2750	FAM71B	family with sequence similarity 71, member B	3	2	0	1	1	0	1	1
3468	HGSNAT	heparan-alpha-glucosaminide N-acetyltransferase	3	2	0	1	1	0	1	1
3509	HLA-E	major histocompatibility complex, class I, E	2	2	0	1	1	0	1	1
3704	IL2RA	interleukin 2 receptor, alpha	2	2	0	1	1	0	1	1
3952	KHK	ketohexokinase (fructokinase)	3	2	0	1	1	0	1	1
4131	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	3	2	0	1	1	0	1	1
4492	MAGI2	membrane associated guanylate kinase, WW and PDZ domain containing 2	5	2	0	1	1	0	1	1
4517	MAP1S	microtubule-associated protein 1S	4	2	0	1	1	0	1	1
5035	NARS2	asparaginyl-tRNA synthetase 2, mitochondrial (putative)	4	2	0	1	1	0	1	1
5194	NLRP12	NLR family, pyrin domain containing 12	2	2	0	1	1	0	1	1
5391	OPRM1	opioid receptor, mu 1	3	2	0	1	1	0	1	1
5812	PDZD2	PDZ domain containing 2	6	2	0	1	1	0	1	1
5820	PELO	pelota homolog (Drosophila)	2	2	0	1	1	0	1	1
6257	PRMT3	protein arginine methyltransferase 3	2	2	0	1	1	0	1	1
6984	SECISBP2L	SECIS binding protein 2-like	5	2	0	1	1	0	1	1
7071	SFRS15	splicing factor, arginine/serine-rich 15	9	2	0	1	1	0	1	1
7337	SLC5A11	solute carrier family 5 (sodium/glucose cotransporter), member 11	5	2	0	1	1	0	1	1
7511	SPAM1	sperm adhesion molecule 1 (PH-20 hyaluronidase, zona pellucida binding)	5	2	0	1	1	0	1	1
7579	SPZ1	spermatogenic leucine zipper 1	2	2	0	1	1	0	1	1
7799	TARBP1	TAR (HIV-1) RNA binding protein 1	5	2	0	1	1	0	1	1
8112	TMOD2	tropomodulin 2 (neuronal)	3	2	0	1	1	0	1	1
8120	TMPRSS15	transmembrane protease, serine 15	4	2	0	1	1	0	1	1
8156	TNRC6B	trinucleotide repeat containing 6B	3	2	0	1	1	0	1	1
8395	UACA	uveal autoantigen with coiled-coil domains and ankyrin repeats	3	2	0	1	1	0	1	1
8592	VN1R2	vomeronasal 1 receptor 2	3	2	0	1	1	0	1	1
8661	WDR63	WD repeat domain 63	2	2	0	1	1	0	1	1
8987	ZNF350	zinc finger protein 350	2	2	0	1	1	0	1	1
3943	KDM5C	lysine (K)-specific demethylase 5C	18	3	0	1	2	0	1	2
5024	NALCN	sodium leak channel, non-selective	10	3	0	1	2	0	1	2
162	ADAM23	ADAM metallopeptidase domain 23	2	3	0	1	1	0	1	1
384	ANKHD1-EIF4EBP3	ANKHD1-EIF4EBP3	4	3	0	1	1	0	1	1
552	ARMC4	armadillo repeat containing 4	5	3	0	1	1	0	1	1
662	ATP6V0D2	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d2	3	3	0	1	1	0	1	1
841	BTBD12	BTB (POZ) domain containing 12	4	3	0	1	1	0	1	1
1301	CATSPER1	cation channel, sperm associated 1	3	3	0	1	1	0	1	1
1581	CEP57	centrosomal protein 57kDa	2	3	0	1	1	0	1	1
1981	CUBN	cubilin (intrinsic factor-cobalamin receptor)	6	3	0	1	1	0	1	1
2135	DDX28	DEAD (Asp-Glu-Ala-Asp) box polypeptide 28	2	3	0	1	1	0	1	1
3421	HDAC6	histone deacetylase 6	2	3	0	1	1	0	1	1
3806	ITGAE	integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide)	3	3	0	1	1	0	1	1
4667	METT10D	methyltransferase 10 domain containing	2	3	0	1	1	0	1	1
4723	MKL1	megakaryoblastic leukemia (translocation) 1	2	3	0	1	1	0	1	1
5074	NCOA4	nuclear receptor coactivator 4	4	3	0	1	1	0	1	1
5130	NF1	neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)	6	3	0	1	1	0	1	1
5261	NPNT	nephronectin	6	3	0	1	1	0	1	1
5340	NUP98	nucleoporin 98kDa	3	3	0	1	1	0	1	1
5360	OCRL	oculocerebrorenal syndrome of Lowe	2	3	0	1	1	0	1	1
5463	OR4D6	olfactory receptor, family 4, subfamily D, member 6	2	3	0	1	1	0	1	1
6286	PRPSAP1	phosphoribosyl pyrophosphate synthetase-associated protein 1	3	3	0	1	1	0	1	1
6406	PUF60	poly-U binding splicing factor 60KDa	2	3	0	1	1	0	1	1
7409	SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	3	3	0	1	1	0	1	1
7752	SYT15	synaptotagmin XV	2	3	0	1	1	0	1	1
8236	TRIM24	tripartite motif-containing 24	4	3	0	1	1	0	1	1
8860	ZFYVE16	zinc finger, FYVE domain containing 16	5	3	0	1	1	0	1	1
8876	ZKSCAN1	zinc finger with KRAB and SCAN domains 1	4	3	0	1	1	0	1	1
8349	TTN	titin	95	4	0	0	5	0	0	5
5688	PCDH10	protocadherin 10	6	4	0	0	3	0	0	3
7271	SLC2A14	solute carrier family 2 (facilitated glucose transporter), member 14	3	4	0	0	3	0	0	3
8204	TPTE2	transmembrane phosphoinositide 3-phosphatase and tensin homolog 2	8	4	0	0	2	0	0	2
176	ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif, 19	7	4	0	0	1	0	0	1
1033	C1orf198	chromosome 1 open reading frame 198	2	4	0	0	1	0	0	1
1076	C22orf9	chromosome 22 open reading frame 9	3	4	0	0	1	0	0	1
2309	DOCK2	dedicator of cytokinesis 2	8	4	0	0	1	0	0	1
3598	HTR1E	5-hydroxytryptamine (serotonin) receptor 1E	3	4	0	0	1	0	0	1
4062	KIF4B	kinesin family member 4B	5	4	0	0	1	0	0	1
4200	LAMA1	laminin, alpha 1	8	4	0	0	1	0	0	1
4603	MCM3AP	minichromosome maintenance complex component 3 associated protein	5	4	0	0	1	0	0	1
4973	MYO18A	myosin XVIIIA	6	4	0	0	1	0	0	1
5512	OR5L1	olfactory receptor, family 5, subfamily L, member 1	3	4	0	0	1	0	0	1
5620	PAICS	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase	2	4	0	0	1	0	0	1
6610	REM1	RAS (RAD and GEM)-like GTP-binding 1	3	4	0	0	1	0	0	1
6748	ROS1	c-ros oncogene 1 , receptor tyrosine kinase	7	4	0	0	1	0	0	1
6775	RPL28	ribosomal protein L28	2	4	0	0	1	0	0	1
6910	SCAI	suppressor of cancer cell invasion	4	4	0	0	1	0	0	1
7643	STAB2	stabilin 2	7	4	0	0	1	0	0	1
8187	TP63	tumor protein p63	2	4	0	0	1	0	0	1
8280	TRPM7	transient receptor potential cation channel, subfamily M, member 7	4	4	0	0	1	0	0	1
8409	UBE2D1	ubiquitin-conjugating enzyme E2D 1 (UBC4/5 homolog, yeast)	2	4	0	0	1	0	0	1
8528	USP33	ubiquitin specific peptidase 33	3	4	0	0	1	0	0	1
6524	RARA	retinoic acid receptor, alpha	4	5	0	0	3	0	0	3
4671	METTL3	methyltransferase like 3	4	5	0	0	2	0	0	2
5197	NLRP2	NLR family, pyrin domain containing 2	3	5	0	0	2	0	0	2
280	AKAP9	A kinase (PRKA) anchor protein (yotiao) 9	10	5	0	0	1	0	0	1
1075	C22orf42	chromosome 22 open reading frame 42	2	5	0	0	1	0	0	1
2215	DIO2	deiodinase, iodothyronine, type II	3	5	0	0	1	0	0	1
2669	FAM123A	family with sequence similarity 123A	3	5	0	0	1	0	0	1
3077	GBF1	golgi-specific brefeldin A resistance factor 1	6	5	0	0	1	0	0	1
3324	GRIK2	glutamate receptor, ionotropic, kainate 2	4	5	0	0	1	0	0	1
3582	HSP90B1	heat shock protein 90kDa beta (Grp94), member 1	4	5	0	0	1	0	0	1
3732	INPP5B	inositol polyphosphate-5-phosphatase, 75kDa	3	5	0	0	1	0	0	1
3810	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	2	5	0	0	1	0	0	1
4030	KIAA1797	KIAA1797	4	5	0	0	1	0	0	1
4101	KLHL32	kelch-like 32 (Drosophila)	4	5	0	0	1	0	0	1
4210	LAMC3	laminin, gamma 3	5	5	0	0	1	0	0	1
4232	LCMT2	leucine carboxyl methyltransferase 2	2	5	0	0	1	0	0	1
4579	MAX	MYC associated factor X	2	5	0	0	1	0	0	1
5292	NRXN1	neurexin 1	9	5	0	0	1	0	0	1
5817	PECR	peroxisomal trans-2-enoyl-CoA reductase	2	5	0	0	1	0	0	1
6405	PTPRZ1	protein tyrosine phosphatase, receptor-type, Z polypeptide 1	9	5	0	0	1	0	0	1
6469	RAB4B	RAB4B, member RAS oncogene family	3	5	0	0	1	0	0	1
6810	RPUSD2	RNA pseudouridylate synthase domain containing 2	3	5	0	0	1	0	0	1
7154	SIRPB1	signal-regulatory protein beta 1	2	5	0	0	1	0	0	1
7255	SLC26A4	solute carrier family 26, member 4	3	5	0	0	1	0	0	1
7896	TEKT5	tektin 5	2	5	0	0	1	0	0	1
7949	THEM5	thioesterase superfamily member 5	3	5	0	0	1	0	0	1
8754	YME1L1	YME1-like 1 (S. cerevisiae)	4	5	0	0	1	0	0	1
9157	ZNF844	zinc finger protein 844	3	5	0	0	1	0	0	1
922	C13orf18	chromosome 13 open reading frame 18	4	6	0	0	2	0	0	2
8648	WDR35	WD repeat domain 35	5	6	0	0	2	0	0	2
787	BIRC2	baculoviral IAP repeat-containing 2	2	6	0	0	1	0	0	1
823	BRDT	bromodomain, testis-specific	3	6	0	0	1	0	0	1
1145	C5orf42	chromosome 5 open reading frame 42	8	6	0	0	1	0	0	1
1485	CDC73	cell division cycle 73, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)	3	6	0	0	1	0	0	1
1508	CDH4	cadherin 4, type 1, R-cadherin (retinal)	2	6	0	0	1	0	0	1
1574	CEP164	centrosomal protein 164kDa	4	6	0	0	1	0	0	1
1717	CLN8	ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)	3	6	0	0	1	0	0	1
1958	CTDP1	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1	2	6	0	0	1	0	0	1
2263	DNAH2	dynein, axonemal, heavy chain 2	13	6	0	0	1	0	0	1
2268	DNAH9	dynein, axonemal, heavy chain 9	17	6	0	0	1	0	0	1
2300	DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	4	6	0	0	1	0	0	1
2354	DSCR6	Down syndrome critical region gene 6	3	6	0	0	1	0	0	1
3026	GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	3	6	0	0	1	0	0	1
3819	ITIH5	inter-alpha (globulin) inhibitor H5	6	6	0	0	1	0	0	1
3848	JMJD1C	jumonji domain containing 1C	6	6	0	0	1	0	0	1
4150	KRT4	keratin 4	2	6	0	0	1	0	0	1
4182	KRTAP4-9	keratin associated protein 4-9	2	6	0	0	1	0	0	1
4349	LPPR4		2	6	0	0	1	0	0	1
4409	LRRCC1	leucine rich repeat and coiled-coil domain containing 1	7	6	0	0	1	0	0	1
4431	LSP1	lymphocyte-specific protein 1	2	6	0	0	1	0	0	1
4788	MOSPD3	motile sperm domain containing 3	3	6	0	0	1	0	0	1
4878	MTF1	metal-regulatory transcription factor 1	4	6	0	0	1	0	0	1
4952	MYH3	myosin, heavy chain 3, skeletal muscle, embryonic	5	6	0	0	1	0	0	1
4970	MYO10	myosin X	7	6	0	0	1	0	0	1
6490	RAD51AP2	RAD51 associated protein 2	5	6	0	0	1	0	0	1
6563	RBM25	RNA binding motif protein 25	4	6	0	0	1	0	0	1
6713	RNF14	ring finger protein 14	3	6	0	0	1	0	0	1
6849	RUNDC2A	RUN domain containing 2A	3	6	0	0	1	0	0	1
7203	SLC17A6	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6	4	6	0	0	1	0	0	1
7448	SNRNP27	small nuclear ribonucleoprotein 27kDa (U4/U6.U5)	2	6	0	0	1	0	0	1
8649	WDR36	WD repeat domain 36	3	6	0	0	1	0	0	1
8767	ZAN	zonadhesin	4	6	0	0	1	0	0	1
7034	SERPINB5	serpin peptidase inhibitor, clade B (ovalbumin), member 5	3	7	0	0	2	0	0	2
9198	ZYG11B	zyg-11 homolog B (C. elegans)	6	7	0	0	2	0	0	2
170	ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif, 12	9	7	0	0	1	0	0	1
318	ALK	anaplastic lymphoma receptor tyrosine kinase	5	7	0	0	1	0	0	1
371	ANGPT1	angiopoietin 1	3	7	0	0	1	0	0	1
406	ANKRD36	ankyrin repeat domain 36	5	7	0	0	1	0	0	1
435	ANUBL1	AN1, ubiquitin-like, homolog (Xenopus laevis)	2	7	0	0	1	0	0	1
509	ARHGAP15	Rho GTPase activating protein 15	3	7	0	0	1	0	0	1
654	ATP5B	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide	2	7	0	0	1	0	0	1
888	C11orf42	chromosome 11 open reading frame 42	3	7	0	0	1	0	0	1
2267	DNAH8	dynein, axonemal, heavy chain 8	11	7	0	0	1	0	0	1
2284	DNAJC2	DnaJ (Hsp40) homolog, subfamily C, member 2	3	7	0	0	1	0	0	1
2784	FANCM	Fanconi anemia, complementation group M	4	7	0	0	1	0	0	1
2822	FBXO38	F-box protein 38	2	7	0	0	1	0	0	1
2901	FKBPL	FK506 binding protein like	3	7	0	0	1	0	0	1
3670	IGSF22	immunoglobulin superfamily, member 22	4	7	0	0	1	0	0	1
3885	KCNC4	potassium voltage-gated channel, Shaw-related subfamily, member 4	3	7	0	0	1	0	0	1
4148	KRT36	keratin 36	2	7	0	0	1	0	0	1
4911	MUC16	mucin 16, cell surface associated	32	7	0	0	1	0	0	1
5345	NXF1	nuclear RNA export factor 1	2	7	0	0	1	0	0	1
5627	PAK7	p21(CDKN1A)-activated kinase 7	2	7	0	0	1	0	0	1
6755	RPAP1	RNA polymerase II associated protein 1	4	7	0	0	1	0	0	1
6860	RYR2	ryanodine receptor 2 (cardiac)	12	7	0	0	1	0	0	1
7014	SEPT3	septin 3	3	7	0	0	1	0	0	1
7193	SLC16A1	solute carrier family 16, member 1 (monocarboxylic acid transporter 1)	2	7	0	0	1	0	0	1
7421	SMCR8	Smith-Magenis syndrome chromosome region, candidate 8	4	7	0	0	1	0	0	1
7612	SSH1	slingshot homolog 1 (Drosophila)	3	7	0	0	1	0	0	1
8095	TMEM63B	transmembrane protein 63B	2	7	0	0	1	0	0	1
8104	TMEM87A	transmembrane protein 87A	2	7	0	0	1	0	0	1
8253	TRIM62	tripartite motif-containing 62	2	7	0	0	1	0	0	1
8272	TRPC1	transient receptor potential cation channel, subfamily C, member 1	2	7	0	0	1	0	0	1
8457	UGT1A7	UDP glucuronosyltransferase 1 family, polypeptide A7	4	7	0	0	1	0	0	1
8538	USP48	ubiquitin specific peptidase 48	3	7	0	0	1	0	0	1
8597	VPS13C	vacuolar protein sorting 13 homolog C (S. cerevisiae)	9	7	0	0	1	0	0	1
8630	WBP11	WW domain binding protein 11	2	7	0	0	1	0	0	1
8685	WFDC8	WAP four-disulfide core domain 8	2	7	0	0	1	0	0	1
8862	ZFYVE26	zinc finger, FYVE domain containing 26	6	7	0	0	1	0	0	1
9070	ZNF600	zinc finger protein 600	3	7	0	0	1	0	0	1
9170	ZNFX1	zinc finger, NFX1-type containing 1	5	7	0	0	1	0	0	1
642	ATP1A1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	5	8	0	0	1	0	0	1
806	BNC1	basonuclin 1	3	8	0	0	1	0	0	1
1185	C8orf45	chromosome 8 open reading frame 45	2	8	0	0	1	0	0	1
1466	CDAN1	congenital dyserythropoietic anemia, type I	3	8	0	0	1	0	0	1
1871	CPNE7	copine VII	3	8	0	0	1	0	0	1
2257	DMXL2	Dmx-like 2	7	8	0	0	1	0	0	1
2687	FAM153B	family with sequence similarity 153, member B	2	8	0	0	1	0	0	1
2796	FAT3	FAT tumor suppressor homolog 3 (Drosophila)	10	8	0	0	1	0	0	1
3565	HRNR	hornerin	8	8	0	0	1	0	0	1
4311	LMO4	LIM domain only 4	3	8	0	0	1	0	0	1
4669	METTL13	methyltransferase like 13	2	8	0	0	1	0	0	1
4734	MLH3	mutL homolog 3 (E. coli)	4	8	0	0	1	0	0	1
4846	MS4A12	membrane-spanning 4-domains, subfamily A, member 12	3	8	0	0	1	0	0	1
5818	PEG3	paternally expressed 3	5	8	0	0	1	0	0	1
6271	PROS1	protein S (alpha)	5	8	0	0	1	0	0	1
6543	RASSF9	Ras association (RalGDS/AF-6) domain family (N-terminal) member 9	2	8	0	0	1	0	0	1
6750	RP1L1	retinitis pigmentosa 1-like 1	3	8	0	0	1	0	0	1
7102	SH2D7	SH2 domain containing 7	2	8	0	0	1	0	0	1
7383	SLCO4C1	solute carrier organic anion transporter family, member 4C1	4	8	0	0	1	0	0	1
7948	THEG	Theg homolog (mouse)	4	8	0	0	1	0	0	1
9062	ZNF570	zinc finger protein 570	3	8	0	0	1	0	0	1
112	ACSBG2	acyl-CoA synthetase bubblegum family member 2	4	9	0	0	1	0	0	1
387	ANKLE2	ankyrin repeat and LEM domain containing 2	3	9	0	0	1	0	0	1
586	ASCC3	activating signal cointegrator 1 complex subunit 3	4	9	0	0	1	0	0	1
1227	CACNA1S	calcium channel, voltage-dependent, L type, alpha 1S subunit	8	9	0	0	1	0	0	1
1439	CD28	CD28 molecule	2	9	0	0	1	0	0	1
1657	CHSY3	chondroitin sulfate synthase 3	2	9	0	0	1	0	0	1
2262	DNAH17	dynein, axonemal, heavy chain 17	4	9	0	0	1	0	0	1
