rank	gene	description	N	n	npat	nsite	nsil	n1	n2	n3	n4	n5	n6	p_classic	p_ns_s	p_ks	p_cons	p_joint	p	q
17	WDR52	WD repeat domain 52	887493	10	9	6	1	1	1	0	8	0	0	2.69e-05	0.352	0.0655	0.0448	0.0244	1.00e-05	0.0107
18	TSPAN19	tetraspanin 19	144817	4	4	4	0	0	0	1	1	2	0	5.06e-05	0.599	0.00700	0.265	0.0144	1.10e-05	0.0111
19	CR1	complement component (3b/4b) receptor 1 (Knops blood group)	1444581	10	10	7	0	1	0	0	4	5	0	0.000116	0.137	0.0458	0.0256	0.0163	2.70e-05	0.0257
20	CNTNAP4	contactin associated protein-like 4	1140427	9	9	8	0	2	2	2	3	0	0	0.000123	0.0478	0.0243	0.943	0.0467	7.53e-05	0.0682
21	BAGE2	B melanoma antigen family, member 2	101378	4	4	4	0	1	0	1	1	1	0	2.17e-05	0.290	0.102	0.821	0.309	8.63e-05	0.0690
22	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1	1157641	9	8	9	0	0	0	4	3	2	0	0.00144	0.0838	0.00395	0.155	0.00469	8.71e-05	0.0690
23	STAG2	stromal antigen 2	1153594	9	9	9	1	2	0	1	3	3	0	9.98e-05	0.549	0.0407	0.799	0.0710	9.11e-05	0.0690
24	MSN	moesin	458269	4	4	4	0	1	0	0	2	1	0	0.00439	0.386	0.00336	0.0303	0.00162	9.13e-05	0.0690
25	NPNT	nephronectin	489577	6	6	6	0	2	0	0	3	1	0	0.000166	0.301	0.134	0.0421	0.0525	0.000110	0.0801
26	OR5M8	olfactory receptor, family 5, subfamily M, member 8	275420	3	2	3	0	0	0	0	2	1	0	0.0296	0.453	0.000322	0.225	0.000388	0.000142	0.0956
27	SPAM1	sperm adhesion molecule 1 (PH-20 hyaluronidase, zona pellucida binding)	451804	5	5	5	0	2	0	1	2	0	0	0.000321	0.265	0.189	0.0181	0.0362	0.000144	0.0956
28	CYB5R3	cytochrome b5 reductase 3	220734	2	2	2	0	0	0	0	1	1	0	0.0510	0.685	0.000213	0.376	0.000235	0.000148	0.0956
29	CLIC6	chloride intracellular channel 6	224207	3	3	3	0	1	0	0	2	0	0	0.00595	0.396	0.0153	0.00237	0.00229	0.000166	0.104
30	OR12D3	olfactory receptor, family 12, subfamily D, member 3	279814	2	2	2	0	1	0	1	0	0	0	0.0241	0.449	0.000909	0.312	0.000636	0.000186	0.112
31	NFE2L2	nuclear factor (erythroid-derived 2)-like 2	524177	5	5	5	0	0	0	2	3	0	0	0.00360	0.286	0.0650	0.00511	0.00503	0.000216	0.126
32	SLC2A14	solute carrier family 2 (facilitated glucose transporter), member 14	442987	3	3	3	0	1	0	1	1	0	0	0.0215	0.338	0.000727	0.809	0.00112	0.000280	0.158
33	TPTE2	transmembrane phosphoinositide 3-phosphatase and tensin homolog 2	483148	8	7	8	1	1	0	0	6	1	0	3.70e-05	0.495	0.417	0.562	0.672	0.000288	0.158
34	ZNF800	zinc finger protein 800	590395	6	6	6	0	0	1	1	2	2	0	0.000308	0.249	0.492	0.0284	0.0900	0.000318	0.168
35	CCNB2	cyclin B2	353170	5	5	5	0	0	0	2	1	2	0	0.000166	0.224	0.219	0.140	0.170	0.000325	0.168
36	ADCY8	adenylate cyclase 8 (brain)	1014281	5	5	5	0	1	0	1	3	0	0	0.0371	0.248	0.000693	0.191	0.000810	0.000343	0.173
37	LPAR4	lysophosphatidic acid receptor 4	327281	4	4	4	0	1	0	0	2	1	0	0.000646	0.537	0.0234	0.618	0.0525	0.000383	0.188
38	ERAP2	endoplasmic reticulum aminopeptidase 2	865803	2	2	2	0	1	0	1	0	0	0	0.273	0.436	0.000355	0.188	0.000129	0.000396	0.189
39	C5orf13	chromosome 5 open reading frame 13	64167	3	3	3	0	0	1	0	0	2	0	0.000100	0.677	0.245	0.739	0.392	0.000437	0.199
40	AKT2	v-akt murine thymoma viral oncogene homolog 2	435880	2	2	2	0	0	0	1	1	0	0	0.178	0.538	0.000847	0.0883	0.000221	0.000438	0.199
41	CSMD3	CUB and Sushi multiple domains 3	3360659	21	20	21	3	3	1	6	8	3	0	0.000446	0.156	0.494	0.0500	0.110	0.000534	0.236
42	DSCR6	Down syndrome critical region gene 6	140933	3	3	3	0	1	0	1	1	0	0	0.00119	0.369	0.117	0.0228	0.0480	0.000615	0.265
43	LRP11	low density lipoprotein receptor-related protein 11	268564	3	3	3	1	1	0	0	1	1	0	0.00258	0.688	0.0159	0.0979	0.0235	0.000648	0.269
44	SFRS15	splicing factor, arginine/serine-rich 15	1032486	9	9	9	0	0	0	4	2	3	0	0.000112	0.0756	0.445	0.695	0.547	0.000654	0.269
45	GRIN2B	glutamate receptor, ionotropic, N-methyl D-aspartate 2B	1319371	11	11	11	0	1	0	4	6	0	0	0.000115	0.0417	0.432	0.952	0.563	0.000690	0.278
46	METTL3	methyltransferase like 3	523510	4	2	4	1	0	0	2	1	1	0	0.213	0.585	0.000379	0.0282	0.000330	0.000743	0.293
47	SERPINB5	serpin peptidase inhibitor, clade B (ovalbumin), member 5	337536	3	3	3	0	0	0	2	1	0	0	0.0101	0.380	0.00844	0.0541	0.00731	0.000775	0.294
48	KRTAP4-9	keratin associated protein 4-9	137596	2	2	2	0	1	0	0	0	1	0	0.00316	0.709	0.0542	0.120	0.0234	0.000778	0.294
49	KLRC2	killer cell lectin-like receptor subfamily C, member 2	208343	2	2	1	0	0	0	0	1	1	0	0.0426	0.854	0.00137	0.152	0.00186	0.000828	0.306
50	AKT3	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	451172	2	2	2	0	0	0	1	1	0	0	0.116	0.599	0.000788	0.231	0.000788	0.000945	0.332
51	UGT2A3	UDP glucuronosyltransferase 2 family, polypeptide A3	471135	4	4	4	1	0	0	0	4	0	0	0.00686	0.763	0.431	0.00494	0.0134	0.000949	0.332
52	PCP4L1	Purkinje cell protein 4 like 1	59064	2	2	2	0	0	0	1	0	1	0	0.000898	0.665	0.0411	0.967	0.104	0.000959	0.332
53	GFRAL	GDNF family receptor alpha like	357745	5	5	5	0	0	0	2	1	2	0	9.62e-05	0.245	0.798	0.984	1.000	0.000986	0.332
54	LMO4	LIM domain only 4	150602	3	3	3	1	1	0	0	1	1	0	0.00212	0.716	0.0357	0.137	0.0460	0.001000	0.332
55	PCLO	piccolo (presynaptic cytomatrix protein)	4446380	20	20	19	2	0	6	5	7	2	0	0.000258	0.0212	0.246	0.896	0.382	0.00101	0.332
56	ANKRD7	ankyrin repeat domain 7	231177	4	4	4	0	1	1	1	0	1	0	0.000116	0.213	0.798	0.453	0.934	0.00110	0.355
57	RARA	retinoic acid receptor, alpha	412626	4	4	4	0	0	1	2	1	0	0	0.00634	0.275	0.00909	0.258	0.0185	0.00118	0.361
58	OR10G7	olfactory receptor, family 10, subfamily G, member 7	275420	5	5	5	1	2	0	0	3	0	0	0.000120	0.480	0.662	0.900	1.000	0.00120	0.361
59	GUSB	glucuronidase, beta	565398	2	2	2	0	1	0	1	0	0	0	0.216	0.431	0.000530	0.490	0.000555	0.00120	0.361
60	DLAT	dihydrolipoamide S-acetyltransferase	584748	2	1	2	1	0	0	0	1	1	0	0.376	0.869	0.000325	0.976	0.000325	0.00122	0.361
61	ZNF516	zinc finger protein 516	857687	2	2	1	0	0	0	0	2	0	0	0.574	0.661	0.000362	0.334	0.000214	0.00123	0.361
62	KCNH7	potassium voltage-gated channel, subfamily H (eag-related), member 7	1090253	8	8	8	1	2	0	0	6	0	0	0.000675	0.414	0.201	0.223	0.183	0.00123	0.361
63	MYO6	myosin VI	1169781	3	3	3	0	0	0	1	1	1	0	0.297	0.504	0.139	0.00168	0.000477	0.00140	0.388
64	CLYBL	citrate lyase beta like	289777	4	4	4	0	1	0	2	1	0	0	0.00139	0.271	0.389	0.0150	0.106	0.00145	0.388
65	B4GALNT3	beta-1,4-N-acetyl-galactosaminyl transferase 3	828718	2	2	2	1	1	0	0	0	1	0	0.259	0.833	0.131	0.00129	0.000577	0.00147	0.388
66	KLK6	kallikrein-related peptidase 6	221215	3	3	3	0	1	0	1	0	1	0	0.00197	0.303	0.393	0.0257	0.0759	0.00147	0.388
67	ZNF653	zinc finger protein 653	416107	4	4	4	0	0	1	2	1	0	0	0.00334	0.270	0.0292	0.312	0.0453	0.00148	0.388
68	LIPI	lipase, member I	435398	5	5	5	0	1	0	3	1	0	0	0.000254	0.175	0.731	0.398	0.617	0.00153	0.388
69	SPANXN1	SPANX family, member N1	66511	2	2	2	0	1	0	0	1	0	0	0.000684	0.446	0.614	0.212	0.234	0.00156	0.388
70	RAP1B	RAP1B, member of RAS oncogene family	169627	2	2	2	1	0	0	1	1	0	0	0.0442	0.847	0.817	0.00661	0.00367	0.00158	0.388
71	DDI1	DDI1, DNA-damage inducible 1, homolog 1 (S. cerevisiae)	350135	4	4	4	0	1	1	1	1	0	0	0.00116	0.254	0.122	0.175	0.142	0.00160	0.388
72	WDR63	WD repeat domain 63	809837	2	2	2	1	0	1	1	0	0	0	0.269	0.745	0.000575	0.651	0.000616	0.00161	0.388
73	AGPAT6	1-acylglycerol-3-phosphate O-acyltransferase 6 (lysophosphatidic acid acyltransferase, zeta)	382658	2	2	2	0	1	0	1	0	0	0	0.0673	0.454	0.0386	0.00370	0.00252	0.00164	0.388
74	C7orf66	chromosome 7 open reading frame 66	104308	2	2	2	1	1	1	0	0	0	0	0.00121	0.892	0.149	0.565	0.142	0.00166	0.388
75	ARHGAP10	Rho GTPase activating protein 10	718560	2	2	2	0	0	0	0	2	0	0	0.323	0.724	0.000531	0.432	0.000531	0.00166	0.388
76	RALGAPA1	Ral GTPase activating protein, alpha subunit 1 (catalytic)	1832471	7	7	7	0	0	1	3	1	2	0	0.0287	0.0722	0.00736	0.0561	0.00600	0.00166	0.388
77	FBXO43	F-box protein 43	628996	5	5	5	0	0	0	1	2	2	0	0.00412	0.484	0.369	0.0124	0.0418	0.00167	0.388
78	CCDC160	coiled-coil domain containing 160	130026	2	2	1	0	0	0	1	1	0	0	0.0108	0.584	0.00112	0.782	0.0161	0.00168	0.388
79	PAF1	Paf1, RNA polymerase II associated factor, homolog (S. cerevisiae)	470787	2	2	2	1	0	0	1	1	0	0	0.176	0.827	0.000723	0.756	0.00102	0.00173	0.388
80	ZYG11B	zyg-11 homolog B (C. elegans)	661301	6	6	6	0	0	0	2	3	1	0	0.00196	0.177	0.0433	0.633	0.0925	0.00175	0.388
81	TCEB3C	transcription elongation factor B polypeptide 3C (elongin A3)	328766	3	3	3	0	1	0	0	1	1	0	0.0252	0.416	0.00758	0.0497	0.00730	0.00176	0.388
82	PRB3	proline-rich protein BstNI subfamily 3	275905	3	3	3	0	1	0	0	2	0	0	0.0170	0.447	0.405	0.00580	0.0110	0.00179	0.388
83	COL4A5	collagen, type IV, alpha 5 (Alport syndrome)	1486929	7	7	7	1	1	0	4	1	1	0	0.0113	0.358	0.0836	0.0270	0.0165	0.00179	0.388
84	CACNA1F	calcium channel, voltage-dependent, L type, alpha 1F subunit	1293834	4	4	4	0	1	0	0	2	1	0	0.217	0.346	0.0322	0.00164	0.000876	0.00182	0.388
85	ZKSCAN1	zinc finger with KRAB and SCAN domains 1	501610	4	4	4	0	0	0	0	4	0	0	0.0193	0.504	0.564	0.00390	0.00994	0.00183	0.388
86	FAM55C	family with sequence similarity 55, member C	498100	2	2	1	0	0	0	0	2	0	0	0.250	0.697	0.000772	0.00505	0.000772	0.00184	0.388
87	NALCN	sodium leak channel, non-selective	1578975	10	10	10	0	3	1	2	3	1	0	0.000814	0.0505	0.181	0.799	0.272	0.00208	0.433
88	WASL	Wiskott-Aldrich syndrome-like	435899	5	5	5	1	0	0	1	4	0	0	0.00187	0.591	0.112	0.0930	0.120	0.00211	0.433
89	OR5H1	olfactory receptor, family 5, subfamily H, member 1	276592	3	3	2	1	0	0	1	0	2	0	0.00301	0.883	0.0204	0.687	0.0753	0.00213	0.433
90	RMI1	RMI1, RecQ mediated genome instability 1, homolog (S. cerevisiae)	551426	2	1	2	0	0	0	1	1	0	0	0.459	0.581	0.000603	0.117	0.000512	0.00220	0.442
91	MLL3	myeloid/lymphoid or mixed-lineage leukemia 3	4339736	20	20	18	2	1	3	0	7	9	0	0.000497	0.0701	0.180	0.847	0.486	0.00226	0.448
92	ALLC	allantoicase	338837	3	3	2	0	2	0	1	0	0	0	0.00765	0.290	0.0109	0.754	0.0321	0.00229	0.448
93	LSP1	lymphocyte-specific protein 1	252348	2	2	2	0	0	0	1	1	0	0	0.0602	0.547	0.0311	0.00599	0.00411	0.00230	0.448
94	IRAK1BP1	interleukin-1 receptor-associated kinase 1 binding protein 1	230377	3	3	3	0	0	2	0	1	0	0	0.00523	0.281	0.0737	0.122	0.0517	0.00249	0.480
95	MS4A12	membrane-spanning 4-domains, subfamily A, member 12	242604	3	3	3	0	1	0	0	2	0	0	0.00243	0.408	0.0278	0.487	0.113	0.00253	0.483
96	PROS1	protein S (alpha)	612500	5	5	5	0	0	0	2	0	3	0	0.00192	0.337	0.111	0.209	0.146	0.00258	0.487
97	NDUFA13	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 13	111559	3	3	3	0	2	0	0	1	0	0	0.00110	0.384	0.342	0.298	0.268	0.00268	0.490
98	EMR3	egf-like module containing, mucin-like, hormone receptor-like 3	592630	6	6	6	1	1	0	2	2	1	0	0.000691	0.328	0.331	0.300	0.426	0.00269	0.490
99	RPUSD2	RNA pseudouridylate synthase domain containing 2	413507	3	3	3	1	0	0	0	3	0	0	0.0566	0.842	0.00376	0.0493	0.00525	0.00271	0.490
100	ZNF845	zinc finger protein 845	855636	2	2	1	0	0	0	0	2	0	0	0.351	0.761	0.000410	0.393	0.000869	0.00277	0.490
101	FKBP15	FK506 binding protein 15, 133kDa	951540	2	2	2	2	0	0	1	1	0	0	1.000	0.972	0.000306	0.550	0.000306	0.00279	0.490
102	WSB2	WD repeat and SOCS box-containing 2	361562	2	1	2	0	0	0	0	2	0	0	0.302	0.687	0.00102	0.791	0.00102	0.00279	0.490
103	CLN8	ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)	254617	3	3	3	1	0	0	1	2	0	0	0.00775	0.796	0.0701	0.0252	0.0397	0.00279	0.490
104	BZW2	basic leucine zipper and W2 domains 2	368145	3	3	3	0	0	1	1	0	1	0	0.0108	0.393	0.0148	0.147	0.0287	0.00281	0.490
105	RNF25	ring finger protein 25	416016	2	2	2	0	0	0	1	0	1	0	0.0878	0.428	0.0398	0.00814	0.00359	0.00286	0.493
106	DIO2	deiodinase, iodothyronine, type II	253555	3	3	3	1	1	0	0	2	0	0	0.00666	0.762	0.0399	0.271	0.0504	0.00302	0.516
107	WDR81	WD repeat domain 81	763543	4	4	4	0	0	0	1	2	1	0	0.0625	0.396	0.0150	0.0628	0.00554	0.00310	0.525
108	RPS26	ribosomal protein S26	106652	2	2	2	0	1	0	1	0	0	0	0.00890	0.511	0.903	0.0179	0.0393	0.00313	0.525
109	KIAA1522	KIAA1522	867455	5	5	5	0	1	0	3	0	1	0	0.0194	0.136	0.723	0.00342	0.0204	0.00349	0.575
110	RILPL1	Rab interacting lysosomal protein-like 1	246162	2	2	1	0	0	0	0	2	0	0	0.0914	0.725	0.000967	0.802	0.00433	0.00349	0.575
111	NLRP12	NLR family, pyrin domain containing 12	945254	2	1	2	1	0	0	1	1	0	0	0.690	0.784	0.000362	0.0451	0.000601	0.00365	0.595
112	PCDH15	protocadherin 15	2168417	12	12	12	1	1	1	4	6	0	0	0.000960	0.121	0.364	0.386	0.437	0.00368	0.596
113	FCRL4	Fc receptor-like 4	467612	2	2	2	0	0	0	2	0	0	0	0.132	0.449	0.782	0.00295	0.00323	0.00374	0.596
114	TMEM184C	transmembrane protein 184C	397601	4	4	4	0	0	0	2	2	0	0	0.00703	0.345	0.457	0.00978	0.0610	0.00375	0.596
115	DNAH9	dynein, axonemal, heavy chain 9	3901910	17	16	17	0	1	1	4	8	3	0	0.00270	0.0135	0.0804	0.480	0.164	0.00387	0.605
116	RNF115	ring finger protein 115	269982	3	3	3	0	0	0	1	2	0	0	0.0162	0.486	0.0182	0.188	0.0274	0.00388	0.605
117	C15orf26	chromosome 15 open reading frame 26	259871	4	4	4	0	1	0	1	2	0	0	0.00133	0.319	0.779	0.112	0.343	0.00397	0.610
118	ZFP112	zinc finger protein 112 homolog (mouse)	808094	5	5	5	1	0	0	1	3	1	0	0.0128	0.669	0.0118	0.680	0.0356	0.00397	0.610
119	TMX3	thioredoxin-related transmembrane protein 3	404139	2	2	2	0	0	0	1	0	1	0	0.0528	0.595	0.646	0.00668	0.00891	0.00407	0.620
120	SPEN	spen homolog, transcriptional regulator (Drosophila)	3208514	15	14	15	1	1	1	5	6	2	0	0.00295	0.0556	0.125	0.479	0.166	0.00421	0.633
121	SPRYD5	SPRY domain containing 5	404742	5	4	5	0	0	0	1	4	0	0	0.00736	0.367	0.0288	0.982	0.0668	0.00423	0.633
122	COL4A3	collagen, type IV, alpha 3 (Goodpasture antigen)	1471573	2	2	2	0	0	0	2	0	0	0	0.593	0.545	0.162	0.000523	0.000858	0.00437	0.633
123	KRTAP5-7	keratin associated protein 5-7	147086	2	2	1	1	0	0	2	0	0	0	0.0181	0.774	0.00435	0.432	0.0284	0.00440	0.633
124	RAB39B	RAB39B, member RAS oncogene family	190450	2	2	2	0	0	0	1	1	0	0	0.0281	0.538	0.00180	0.0576	0.0184	0.00442	0.633
125	ANGPT1	angiopoietin 1	449161	3	3	3	1	0	1	0	1	1	0	0.0192	0.765	0.0230	0.111	0.0271	0.00446	0.633
126	FAM5C	family with sequence similarity 5, member C	682396	6	6	6	1	1	1	0	3	1	0	0.000877	0.558	0.608	0.356	0.598	0.00449	0.633
127	WDR5	WD repeat domain 5	309701	2	2	2	0	0	1	1	0	0	0	0.0616	0.494	0.651	0.00710	0.00852	0.00449	0.633
128	IDO1	indoleamine 2,3-dioxygenase 1	336958	2	2	2	0	0	0	1	0	1	0	0.0595	0.444	0.0102	0.488	0.00888	0.00452	0.633
129	PPP1R16B	protein phosphatase 1, regulatory (inhibitor) subunit 16B	479972	2	2	1	0	0	2	0	0	0	0	0.0867	0.664	0.00468	0.849	0.00611	0.00453	0.633
130	ZNF268	zinc finger protein 268	116263	2	2	2	0	0	1	0	1	0	0	0.00454	0.699	NaN	NaN	NaN	0.00454	0.633
131	MYO3A	myosin IIIA	1459386	7	7	7	1	0	1	2	4	0	0	0.0150	0.442	0.113	0.0234	0.0361	0.00462	0.639
132	PGLYRP3	peptidoglycan recognition protein 3	306556	4	4	4	0	0	0	1	2	1	0	0.00173	0.300	0.214	0.700	0.333	0.00486	0.665
133	SECISBP2L	SECIS binding protein 2-like	935609	6	6	6	1	1	0	1	3	1	0	0.00341	0.608	0.149	0.302	0.169	0.00488	0.665
134	FCRL5	Fc receptor-like 5	860066	4	4	4	0	1	0	1	2	0	0	0.0469	0.303	0.0222	0.0704	0.0129	0.00508	0.687
135	MPO	myeloperoxidase	631891	2	2	2	0	1	1	0	0	0	0	0.157	0.578	0.321	0.00488	0.00393	0.00517	0.694
136	RARRES1	retinoic acid receptor responder (tazarotene induced) 1	188678	2	2	2	0	0	1	0	1	0	0	0.0111	0.549	0.123	0.0483	0.0571	0.00531	0.700
137	NOS1AP	nitric oxide synthase 1 (neuronal) adaptor protein	464876	4	4	4	0	1	0	0	2	1	0	0.00739	0.423	0.126	0.0735	0.0862	0.00532	0.700
138	SLCO1B1	solute carrier organic anion transporter family, member 1B1	624676	4	4	4	0	1	0	1	1	1	0	0.00523	0.334	0.101	0.319	0.122	0.00533	0.700
139	BTN3A1	butyrophilin, subfamily 3, member A1	442958	2	2	2	1	0	0	2	0	0	0	0.176	0.738	0.00117	0.0641	0.00369	0.00543	0.706
140	LHFPL1	lipoma HMGIC fusion partner-like 1	197773	3	3	3	0	1	0	0	1	1	0	0.000878	0.664	0.717	0.414	0.746	0.00545	0.706
141	ZEB2	zinc finger E-box binding homeobox 2	1078533	5	5	5	1	0	1	2	2	0	0	0.0505	0.546	0.00465	0.692	0.0134	0.00562	0.720
142	NRP1	neuropilin 1	812782	3	2	3	0	0	0	1	2	0	0	0.413	0.487	0.00278	0.0616	0.00165	0.00565	0.720
143	UBA5	ubiquitin-like modifier activating enzyme 5	321862	3	3	3	0	0	0	3	0	0	0	0.0110	0.358	0.0415	0.238	0.0628	0.00569	0.720
144	STT3A	STT3, subunit of the oligosaccharyltransferase complex, homolog A (S. cerevisiae)	640497	4	4	4	0	1	1	1	0	1	0	0.0116	0.313	0.0510	0.602	0.0603	0.00580	0.720
145	ZNF799	zinc finger protein 799	544013	8	5	6	1	4	0	2	1	1	0	0.000704	0.343	0.743	0.811	1.000	0.00581	0.720
146	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	207137	3	3	3	0	0	0	1	2	0	0	0.00562	0.515	0.117	0.254	0.126	0.00586	0.720
147	NLRP2	NLR family, pyrin domain containing 2	947986	3	3	3	1	1	0	0	1	1	0	0.159	0.711	0.000884	0.994	0.00450	0.00589	0.720
148	NF2	neurofibromin 2 (merlin)	482546	4	4	4	0	0	0	1	0	3	0	0.00329	0.394	0.764	0.0386	0.220	0.00594	0.720
149	ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif, 19	949904	7	7	7	2	1	0	2	2	2	0	0.0484	0.562	0.110	0.00525	0.0150	0.00596	0.720
150	CTSB	cathepsin B	309205	4	4	4	1	2	0	0	2	0	0	0.00115	0.619	0.345	0.630	0.629	0.00597	0.720
151	EPHX1	epoxide hydrolase 1, microsomal (xenobiotic)	407561	3	3	3	1	0	2	1	0	0	0	0.0114	0.681	0.0435	0.444	0.0642	0.00601	0.720
152	CRYGA	crystallin, gamma A	157341	3	3	3	0	1	0	1	1	0	0	0.000737	0.406	0.431	0.980	1.000	0.00605	0.720
153	USP29	ubiquitin specific peptidase 29	812489	3	3	3	0	0	0	2	0	1	0	0.147	0.374	0.393	0.00320	0.00503	0.00608	0.720
154	SNRPN	small nuclear ribonucleoprotein polypeptide N	219989	2	2	2	0	0	0	0	2	0	0	0.0657	0.602	0.687	0.0103	0.0115	0.00617	0.726
155	ZUFSP	zinc finger with UFM1-specific peptidase domain	519489	5	5	5	1	0	1	3	1	0	0	0.00302	0.468	0.124	0.645	0.255	0.00628	0.731
156	ZC3H18	zinc finger CCCH-type containing 18	766490	5	5	5	1	1	0	2	1	1	0	0.0117	0.462	0.389	0.0252	0.0659	0.00630	0.731
157	MS4A14	membrane-spanning 4-domains, subfamily A, member 14	603355	5	5	5	0	1	0	1	3	0	0	0.00377	0.221	0.206	0.314	0.209	0.00642	0.735
158	COMMD4	COMM domain containing 4	172590	2	1	2	0	1	1	0	0	0	0	0.0625	0.562	0.0126	0.598	0.0126	0.00643	0.735
159	SUPV3L1	suppressor of var1, 3-like 1 (S. cerevisiae)	709353	4	4	4	1	0	1	3	0	0	0	0.0285	0.507	0.0470	0.0445	0.0278	0.00645	0.735
160	PKP2	plakophilin 2	749972	6	6	6	2	0	0	3	2	1	0	0.0633	0.606	0.0532	0.0127	0.0128	0.00659	0.745
161	GSPT1	G1 to S phase transition 1	427233	4	4	4	1	0	1	1	0	2	0	0.00279	0.514	0.201	0.242	0.293	0.00662	0.745
162	HGS	hepatocyte growth factor-regulated tyrosine kinase substrate	597206	3	3	3	0	1	1	0	1	0	0	0.0414	0.409	0.943	0.00490	0.0208	0.00695	0.777
163	MUC2	mucin 2, oligomeric mucus/gel-forming	1757395	11	10	9	2	2	0	1	7	1	0	0.0261	0.361	0.0156	0.733	0.0335	0.00704	0.782
164	CD300E	CD300e molecule	185740	3	3	3	0	0	0	2	1	0	0	0.00361	0.352	0.868	0.0763	0.246	0.00714	0.786
165	GPM6A	glycoprotein M6A	253992	3	3	2	0	2	0	0	0	1	0	0.00198	0.431	0.402	0.0591	0.456	0.00722	0.786
166	OPRD1	opioid receptor, delta 1	259665	3	3	3	0	2	0	0	1	0	0	0.0104	0.311	0.337	0.0490	0.0871	0.00723	0.786
167	ARHGAP36	Rho GTPase activating protein 36	494132	3	3	3	0	1	0	2	0	0	0	0.0610	0.321	0.467	0.00596	0.0148	0.00725	0.786
168	NAT9	N-acetyltransferase 9	189682	3	3	3	0	0	1	1	0	1	0	0.00190	0.332	0.414	0.373	0.491	0.00743	0.802
169	MARK1	MAP/microtubule affinity-regulating kinase 1	692858	6	6	6	0	1	1	2	2	0	0	0.000939	0.155	0.892	0.849	1.000	0.00749	0.803
170	PCSK6	proprotein convertase subtilisin/kexin type 6	739112	4	4	4	0	0	0	1	1	2	0	0.0309	0.566	0.401	0.0107	0.0307	0.00757	0.806
