Chromosome Name,HGNC symbol,Gene Start (bp),Gene End (bp)
13,ANKRD26P2,39496864,39510336
21,EEF1A1P1,24762579,24763317
15,IGHD3OR15-3B,21217888,21217918
13,NXT1P1,39743773,39744088
15,IGHD2OR15-2B,21220377,21220407
13,,40021252,40021353
13,,40226715,40226806
13,MIR4305,40238171,40238272
21,TUBAP,24779978,24781448
13,RNY4P14,40359552,40359647
13,CDKN2AIPNLP3,40391878,40392186
15,SECISBP2L,49280673,49338760
13,AZU1P1,40430847,40431231
13,,40431272,40431364
15,IGHD1OR15-1B,21223129,21223145
13,LINC00332,40755946,40763165
13,RPL17P51,40798762,40798999
13,RNY3P9,40800964,40801069
15,,22011370,22012050
13,,40918094,40924440
13,RN7SKP2,40981259,40981577
13,LINC00598,41025131,41055143
13,RLIMP1,41192875,41195485
13,MIR320D1,41301964,41302011
13,MIR621,41384902,41384997
13,TPTE2P5,41396432,41495890
15,POTEB,22051853,22083227
21,TPTE,10906201,11029719
HG185_PATCH,ACLY,40023160,40075239
13,CYCSP34,41437735,41438038
13,SUGT1P3,41482295,41495910
13,RGS17P1,41566915,41567467
13,MIR3168,41675155,41675236
21,,24804501,24804602
13,RN7SL597P,41696012,41696305
21,,24849960,24863043
13,CALM2P3,41744836,41745284
21,,25261114,25262857
13,,41754117,41754223
13,MORF4L1P4,41773968,41774943
21,,25333220,25339588
13,RAC1P3,41861877,41862456
21,,25415572,25422601
18,,22069339,22071044
13,RNU6-57P,41928693,41928795
21,,25527484,25560655
18,,22096847,22097970
13,TUBBP2,41958909,41959319
21,,25676863,25693690
18,,22102237,22102883
13,OR7E36P,42005425,42006446
21,,25801054,25920256
18,,22208146,22242162
13,OR7E155P,42013952,42015035
18,,22253127,22254312
18,RAC1P1,22265736,22266315
13,OR7E37P,42016906,42017786
18,,22269878,22270125
13,,42019427,42019503
18,,22305745,22509040
13,,42020193,42020261
13,,42024148,42024235
13,MIR5006,42142422,42142531
13,RN7SL515P,42381813,42382108
13,RNU6-74P,42479254,42479360
18,,22513451,22567646
13,KARSP1,42499734,42501485
18,WBP2P1,22596398,22597168
13,RPS28P8,42577566,42577773
13,,42617863,42618383
18,,22635564,22636724
13,MAPK6PS3,42643068,42645229
18,,22882090,22882920
13,,42747126,42747223
18,RN7SL97P,23398200,23398496
13,CHCHD2P11,42755601,42756057
18,,23533180,23533432
13,FHP1,42830009,42830711
18,RPS24P18,23678803,23679190
HG185_PATCH,TTC25,40086887,40121903
13,FABP3P2,42943374,42943793
18,DHFRP1,23749724,23751313
13,LINC01050,43384502,43386698
13,LINC00428,43416550,43417023
18,NPM1P2,23784833,23785868
13,ZDHHC4P1,43507994,43509028
21,,14741931,14745386
18,FAM60BP,23835662,23836319
13,LINC00400,43732767,43733602
13,RPL36P19,43968661,43968961
18,,23845973,23847373
13,ENOX1-AS2,44032601,44033259
18,,23879079,23879219
13,ENOX1-AS1,44118054,44122192
18,,23928311,23928968
13,,44361727,44361988
18,RNU6-1289P,23946265,23946370
18,,24002959,24006065
21,POTED,14982498,15013906
18,,24166678,24166762
13,LINC00284,44482850,44604597
18,CIAPIN1P,24179372,24180302
HG185_PATCH,CNP,40122993,40131428
21,,15051621,15053459
18,AQP4-AS1,24235706,24770662
13,DGKZP1,44542560,44545335
18,LDLRAD4,13217497,13652754
13,LINC00390,44680514,44711372
13,SMIM2-AS1,44716682,44813010
18,,24267585,24283602
13,SMIM2-IT1,44720606,44732358
18,,24268075,24269632
13,,44808254,44817328
18,,24402777,24403943
13,LINC01071,44974386,44980120
18,,24411484,24412396
18,,24532165,24532522
13,,45011343,45026963
18,,24805706,24827152
HG185_PATCH,DNAJC7,40132691,40173905
13,SMARCE1P5,45168994,45170218
21,LIPI,15481134,15583166
13,,45202705,45202809
13,LINC00407,45225948,45275152
13,LINC00330,45373639,45383766
13,,45556212,45657260
13,RN7SL49P,45576285,45576580
13,RN7SKP3,45634864,45635221
13,,45697228,45697549
13,RNU6-69P,45711997,45712100
13,,45837825,45838050
13,,45874149,45874235
13,,45910449,45910582
13,SNORA31,45911615,45911744
13,,45914174,45915318
21,RBM11,15588451,15600693
15,OR4M2,22368478,22369561
21,,26212864,26430059
HG185_PATCH,NKIRAS2,40173272,40181893
15,OR4N4,22382382,22383507
13,TPT1-AS1,45915480,45965872
21,,26258990,26275070
21,,26310745,26365129
15,IGHV1OR15-1,22448382,22448819
15,,22456895,22460351
15,IGHV4OR15-8,22472918,22473353
21,,26403318,26403842
21,,26427848,26442219
21,HSPA13,15743436,15755805
HG185_PATCH,ZNF385C,40181828,40219330
13,,45924458,45925485
13,RCN1P2,45964486,45965402
13,SLC25A30-AS1,45992297,45994506
13,PPIAP25,46010256,46010795
13,RNA5SP27,46125620,46125738
15,GOLGA6L1,22736246,22746002
13,TIMM9P3,46126998,46127271
13,COX4I1P2,46245980,46246526
13,LINC01055,46255225,46256554
21,,26467335,26475983
13,AKR1B1P4,46261683,46262604
HG185_PATCH,DHX58,40257656,40268985
21,,26499782,26507561
13,CPB2-AS1,46626941,46687467
21,,26541745,26706139
21,RNA5SP489,26574521,26574629
13,RN7SL288P,46743594,46743883
13,,46809805,46809908
13,RN7SKP5,46824077,46824348
13,FAM206BP,46844212,46844752
13,LINC00563,46870580,46871979
13,RNU2-6P,46948536,46948725
13,RNU6-68P,46984589,46984692
15,COPS2,49398268,49447858
21,SAMSN1,15857549,15955723
13,PPP1R2P4,46917102,47012325
HG185_PATCH,KAT2A,40269360,40277610
21,,15964251,16031142
13,,47029270,47060641
13,OR7E101P,47034744,47035256
13,COX17P1,47064997,47065397
HG185_PATCH,HSPB9,40277683,40279604
13,FKBP1AP3,47079253,47079571
13,HTR2A-AS1,47426278,47430434
13,GNG5P5,47881217,47881436
13,RN7SL700P,48033078,48033369
13,NAP1L4P3,48337595,48338741
13,RPL27AP8,48340775,48341220
HG185_PATCH,RAB5C,40281228,40311269
13,,48399465,48410091
15,TUBGCP5,22833395,22873892
13,LINC00444,48479464,48481492
13,LINC00562,48504290,48506757
13,SUCLA2-AS1,48575525,48576688
HG185_PATCH,,39874406,39874512
13,MED4-AS1,48651273,48654127
HG185_PATCH,,39886381,39886657
HG185_PATCH,,39993316,39993580
13,POLR2KP2,48708494,48708670
HG185_PATCH,,40004770,40007699
13,LINC00441,48870649,48877797
18,,24916343,25175128
13,PPP1R26P1,48890999,48894611
13,PCNPP5,48902220,48902700
13,LINC01077,49144775,49147453
21,NRIP1,16333556,16437321
13,LINC00462,49151110,49152224
18,,24923216,24926074
13,,49326225,49326292
13,PSME2P2,49345264,49345965
18,UBA52P9,24935370,24935728
13,,49504256,49504348
13,RNU6-60P,49562051,49562153
18,,24977916,24981868
13,RAD17P2,49618215,49620930
18,RBM22P1,24998848,25000399
13,RNY3P2,49669527,49669628
13,COX7CP1,49761615,49761806
18,PA2G4P3,25032478,25033621
13,OGFOD1P1,49784558,49786430
18,,25534483,25543651
13,SNRPGP14,50063106,50063500
15,RMDN3,41028082,41048049
18,ARIH2P1,26231696,26233172
13,,50194450,50194784
HG183_PATCH,PECAM1,62399863,62491136
18,,26365032,26369224
13,,50243040,50243254
18,,26404616,26404790
13,RNY4P30,50463770,50463864
13,CTAGE10P,50464727,50467134
18,RNU6-408P,26628584,26628683
18,,26675539,26675643
13,RNY4P9,50482770,50482866
18,,26776406,26776492
13,,50526670,50526750
13,MIR3613,50570551,50570637
18,,26836782,26837025
15,,62929371,62937490
18,,26858474,26941928
18,,27063293,27063388
18,,27098224,27128206
18,,28293241,28294252
18,,28534786,28560883
18,RNU6-857P,28564072,28564181
18,,28638806,28639359
13,DLEU2,50601269,50699856
18,,28652470,28652573
21,,26711319,26711413
18,,28681551,28742752
21,RPL13AP7,26734135,26734745
18,,28711419,28712457
21,LINC00158,26758133,26804013
18,,28923331,29006951
21,,26842421,26842513
21,,26887785,26890650
13,MIR16-1,50623109,50623197
18,RNU6-167P,28925325,28925430
13,RPL18P10,50673467,50674004
21,MIR155HG,26934221,26947480
18,,28962280,28962393
18,,29076608,29077158
13,ST13P4,50746225,50747317
21,LINC00515,26955082,26955638
18,,29122109,29136874
21,RNGTTP1,27015801,27016528
13,RPL34P26,50935546,50935899
21,FDX1P2,27064492,27064866
HG183_PATCH,MILR1,62526397,62546003
18,RNU6-1002P,29249252,29249341
13,,50937284,50937373
21,,27135249,27135644
13,,51095069,51101585
18,,29265618,29266786
18,RN7SKP44,29298856,29299171
15,GCHFR,41056218,41059906
18,LRRC37A7P,29304161,29306919
21,,27306373,27315001
18,,29306006,29306360
13,DLEU7-AS1,51381992,51423190
21,RNU6-123P,27315359,27315460
18,,29424351,29425141
13,RNA5SP28,51387124,51387242
21,,27530409,27548142
18,,29462583,29462865
18,,29464821,29465106
21,,27543189,27589700
18,RNU6-1050P,29517496,29517602
13,RNASEH2B-AS1,51450822,51484848
18,,29522538,29524119
21,RNU6-926P,27563026,27563132
18,PGDP1,29542141,29543581
21,,27722099,27722953
18,,29546923,29547508
21,,27750871,27844017
18,,29598792,29691742
18,,29640868,29640952
18,,29655848,29656235
18,,29671258,29672082
18,,29674467,29674569
HG183_PATCH,POLG2,62555145,62574426
18,,29702363,29704441
18,RNA5SP453,29756013,29756131
18,,29775989,29776929
18,,29825909,29828995
18,,29843098,29843201
18,,29867400,29870303
18,HNRNPA1P7,29991471,29993167
18,WBP11P1,30091626,30094597
15,DNAJC17,41060067,41099675
18,,30106105,30106185
18,FAM210A,13663346,13726662
18,,30161491,30162791
13,GUCY1B2,51568647,51654998
21,USP25,17102344,17252377
21,,27765954,27941571
21,,27832222,27832533
21,,28261695,28312061
21,MIR4759,28326280,28326362
21,GPX1P2,28515663,28516268
21,,28731204,28820898
21,,28733483,28768106
13,RNA5SP29,51601883,51601988
13,LINC00371,51656984,51746524
13,RPL5P31,51735859,51736493
13,SLMO2P2,51770017,51770217
HG183_PATCH,DDX5,62576980,62585072
13,MIR5693,51922703,51922775
13,,51935701,51936371
13,,51936795,51937579
18,ST8SIA5,44259081,44339220
13,INTS6-AS1,52026503,52126500
21,C21orf37,18811208,18821503
HSCHR19LRC_COX2_CTG1,MIR4752,54785613,54785684
HSCHR19LRC_COX2_CTG1,,55043099,55043205
13,RPS4XP16,52028300,52035451
13,RN7SL320P,52043886,52044181
13,SNRPGP11,52070156,52070387
13,MIR4703,52126725,52126803
HG183_PATCH,CEP95,62584096,62615309
13,RNU6-65P,52139548,52139645
13,RNY1P6,52160560,52160668
13,RN7SL413P,52168057,52168351
13,ATP5F1P1,52172552,52173596
13,,52378433,52387356
13,CTAGE3P,52482354,52484757
13,FABP5P2,52540878,52541285
HG183_PATCH,,62385676,62386050
13,,52741844,52865692
HG183_PATCH,,62467518,62467623
HG183_PATCH,,62502429,62502530
HG183_PATCH,,62539910,62540007
HG183_PATCH,,62568883,62569149
HG183_PATCH,MIR3064,62578133,62578199
21,CXADR,18884700,18965897
HG183_PATCH,MIR5047,62578574,62578673
HG183_PATCH,,62608135,62608217
13,MRPS31P5,52741844,52768600
18,RNMT,13726659,13764557
HG998_1_PATCH,QSOX2,139098179,139137687
18,PIAS2,44388353,44500123
13,TPTE2P2,52793479,52908412
15,GALK2,49447853,49660066
HG998_1_PATCH,,139173226,139198747
HG998_1_PATCH,,139141817,139143051
21,BTG3,18965971,18985265
21,EIF4A1P1,28739333,28740266
15,,41052795,41053072
21,RPL10P1,28792699,28793342
21,NCSTNP1,28864437,28864580
21,,29011012,29025810
15,,41128006,41136585
15,C15orf62,41062159,41064643
20,EPPIN-WFDC6,44165625,44176065
21,LINC00113,29094698,29123552
15,,41167511,41167608
HG186_PATCH,DOCK3,50712672,51421329
15,,41199009,41201540
21,,29327240,29357614
15,ISCA1P4,41240934,41241067
21,LINC00314,29385682,29395552
15,,41291472,41297063
15,,41303795,41305498
21,,29420733,29509930
15,,41309005,41320091
HG186_PATCH,MANF,51422478,51426828
15,CYCSP2,41401076,41401376
20,WFDC8,44179792,44207965
15,TPM1,63334831,63364114
15,FAM92A1P1,41455360,41456572
15,RN7SL497P,41484165,41484463
HG186_PATCH,RBM15B,51428699,51435339
20,WFDC9,44236578,44259907
21,C21orf91,19161284,19191703
15,OIP5-AS1,41576188,41601901
HG243_PATCH,MROH1,145202919,145316830
18,,30359002,30359249
18,,30413417,30518280
18,,30534039,30537962
18,,31132087,31158151
18,,31581662,31581763
18,,31802929,31804725
18,,32153951,32154487
18,,32317759,32347627
18,,32399910,32399995
18,,32860831,32870165
18,ZNF271,32870246,32890730
18,,32963318,32963989
18,,33023833,33047052
18,,33175865,33177563
18,,33296334,33297942
15,CRTC3,91073157,91188577
18,NRBF2P1,33421723,33422581
18,MIR187,33484781,33484889
HG243_PATCH,BOP1,145317005,145346273
18,MIR3929,33514051,33514105
15,ZFYVE19,41099284,41106767
18,,33531766,33546081
18,,33759959,33767411
18,,33853537,33854562
18,,33858698,33859082
20,CSTF1,54967427,54979518
18,,34222576,34222647
18,,34481909,34503777
18,,34814082,34816205
21,CHODL,19273580,19639690
HG186_PATCH,VPRBP,51433298,51537425
18,,34823739,34827179
18,,34853669,34856535
18,MIR4318,35237098,35237178
18,,35252652,35253139
18,,36235173,36267962
18,RN7SKP182,36596011,36596308
18,RNU6-706P,36613971,36614074
13,,52908430,52916031
HG243_PATCH,,145321463,145323384
18,LINC00669,36786888,37380282
13,RNY4P24,52974139,52974234
13,LINC00345,53058296,53058815
20,WFDC10A,44258165,44259835
18,RPL7AP66,36914836,36915639
13,,53063128,53073440
15,,41635278,41636423
18,MIR5583-1,37256685,37256743
15,RNU6-1169P,41740940,41741042
15,CYFIP1,22892005,23006016
15,TCEB1P2,41849225,41849633
18,RNU6-1242P,37258484,37258586
18,,37421138,37504804
20,WFDC11,44277202,44298909
